id,mapel_kode,fase_kode,cabang_kode,agama_kode,teks_capaian,dokumen_kode,halaman_lampiran
CP-SMUS-C,SMUS,C,SMUS,,"Pada akhir Fase C, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengenali dan menerapkan unsur-unsur musik (nada, irama dan melodi) menggunakan alat musik ritmis dan melodis serta menunjukkan tingkat kepekaan akan unsur-unsur musik dengan menggunakan alat musik ritmis dan melodis. Merefleksikan (Reflecting): Melakukan umpan balik mengenai karya dan kemampuan bermusik diri sendiri atau orang lain menggunakan istilah musik yang tepat. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengeksplorasi variasi pola irama, tempo dan melodi dengan alat musik ritmis dan melodis menggunakan notasi musik dan teknik dasar yang telah dipelajari; menemukan alternatif untuk menghasilkan bunyi musik sederhana melalui eksplorasi material yang tersedia di lingkungan sekitar dan menerapkan cara memainkan dan merawat alat musik dengan teknik yang tepat sesuai dengan spesifikasi bahan alat musik. Menciptakan (Creating): Membuat dan mengembangkan pola irama menggunakan anggota tubuh atau alat musik ritmis yang tersedia berdasarkan nilai kearifan lokal daerahnya. Berdampak (Impacting): Menunjukkan minat dan rasa ingin tahu dalam kegiatan bermusik.",046/H/KR/2025,240
CP-RUPA-A,RUPA,A,RUPA,,"Pada akhir Fase A, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengenali dan menyebutkan unsur-unsur rupa dalam benda-benda di sekitar/karya seni rupa. Merefleksikan (Reflecting): Merefleksikan dan mengapresiasi karya diri sendiri. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengenali dan menguji coba alat dan/atau bahan yang dimiliki. Menciptakan (Creating): Membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar. Berdampak (Impacting): Menghasilkan karya seni rupa yang berdampak pada perasaan dirinya.",046/H/KR/2025,246
CP-RUPA-B,RUPA,B,RUPA,,"Pada akhir Fase B, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengidentifikasi unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa. Merefleksikan (Reflecting): Merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengenali dan menguji coba alat dan/atau bahan yang dimiliki serta prosedur penggunaannya. Menciptakan (Creating): Membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar. Berdampak (Impacting): Menghasilkan karya seni rupa yang berdampak pada perasaan atau mewakili harapannya.",046/H/KR/2025,247
CP-RUPA-C,RUPA,C,RUPA,,"Pada akhir Fase C, murid memiliki kemampuan sebagai Mengalami (Experiencing): Menjelaskan unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa. Merefleksikan (Reflecting): Merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengenali dan menguji coba variasi teknik penggunaan alat dan/atau bahan. Menciptakan (Creating): Membuat karya seni rupa berdasarkan pengalaman dan/atau hasil pengamatan terhadap lingkungan sekitar melalui pengembangan imajinasi. Berdampak (Impacting): Menghasilkan karya seni rupa yang mewakili minatnya.",046/H/KR/2025,247
CP-TARI-A,TARI,A,TARI,,"Pada akhir Fase A, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengenal bentuk tari sebagai media komunikasi serta mengembangkan kesadaran diri dalam bereksplorasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah. Merefleksikan (Reflecting): Mengidentifikasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah, serta mengemukakan pencapaian diri secara lisan, tulisan, dan kinestetik. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Meragakan hasil gerak berdasarkan etika sebagai penampil dan penonton dengan keyakinan dan percaya diri saat mengekspresikan ide, perasaan kepada penonton atau lingkungan sekitar. Menciptakan (Creating): Mengembangkan unsur utama tari (gerak, ruang, waktu, dan tenaga), gerak di tempat, dan gerak berpindah untuk membuat gerak sederhana yang memiliki kesatuan gerak yang indah. Berdampak (Impacting): Menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan antusiasme yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.",046/H/KR/2025,256
CP-TARI-B,TARI,B,TARI,,"Pada akhir Fase B, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengamati bentuk penyajian tari berdasarkan latar belakang serta mengeksplorasi unsur utama tari sesuai level gerak, dan perubahan arah hadap. Merefleksikan (Reflecting): Mengidentifikasi unsur utama tari sesuai level gerak, dan perubahan arah hadap, serta menilai pencapaian diri saat melakukan aktivitas pembelajaran tari. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Meragakan hasil tari dengan bekerja secara kooperatif untuk mengembangkan kemampuan bekerja sama dan saling menghargai demi tercapainya tujuan bersama. Menciptakan (Creating): Mengembangkan gerak dengan unsur utama tari, level, dan perubahan arah hadap. Berdampak (Impacting): Menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan usaha yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.",046/H/KR/2025,257
CP-TARI-C,TARI,C,TARI,,"Pada akhir Fase C, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengamati berbagai bentuk tari tradisi yang dapat digunakan untuk mengekspresikan diri melalui unsur pendukung tari. Merefleksikan (Reflecting): Mengidentifikasi unsur pendukung tari dalam tari tradisi serta menghargai hasil pencapaian diri dengan mempertimbangkan pendapat orang lain. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Meragakan hasil rangkaian gerak tari menggunakan unsur pendukung tari dengan menunjukan kerja sama dan berperan aktif dalam kelompok. Menciptakan (Creating): Merangkai gerak tari yang berpijak pada tradisi/ kreasi dengan menerapkan desain kelompok. Berdampak (Impacting): Menanggapi kejadian-kejadian di lingkungan sekitar melalui tari yang disajikan kepada penonton atau masyarakat sekitar.",046/H/KR/2025,257
CP-TEATER-A,TEATER,A,TEATER,,"Pada akhir fase A, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengamati, merespons, meniru gerak tubuh dan suara sebagai media untuk mengomunikasikan emosi. Merefleksikan (Reflecting): Mengenali pengalaman dan emosi selama proses berseni teater serta menceritakan sebuah karya dengan kosakata sehari-hari. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengenal jenis-jenis properti/alat bantu yang dapat mendukung cerita/permainan peran. Menciptakan (Creating): Mengeksplorasi beragam peran mengenai tokoh di sekitar atau rekaan, dan memainkan sebuah lakon pertunjukan. Berdampak (Impacting): Memainkan gerak dan lagu sesuai arahan dari pendidik.",046/H/KR/2025,264
CP-TEATER-B,TEATER,B,TEATER,,"Pada akhir fase B, murid memiliki kemampuan sebagai Mengalami (Experiencing): Mengenal teknik dasar akting (pemeranan) melalui proses meniru (mimesis), mengenal gerak tubuh, suara/vokal sesuai tokoh/peran atau perilaku objek sekitar. Merefleksikan (Reflecting): Mengenali lingkungan sekitarnya dan pengalaman dalam bermain teater. Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Menggunakan properti yang sesuai dengan tokoh yang diperankan. Menciptakan (Creating): Mengamati berbagai peran, mengenal tokoh di sekitar, dan memainkan sebuah lakon dalam cerita. Berdampak (Impacting): Mengenal bentuk lakon dalam bermain teater.",046/H/KR/2025,264
CP-TEATER-C,TEATER,C,TEATER,,"Pada akhir fase C, murid memiliki kemampuan sebagai Mengalami (Experiencing): Melakukan permainan peran berkelompok, seperti improvisasi untuk melatih aksi dan reaksi dalam mengelaborasi cerita atau tokoh dan melakukan pengenalan karakter melalui pengamatan kebiasaan tokoh yang diperankan. Merefleksikan (Reflecting): Menceritakan pendapatnya tentang sebuah cerita sederhana (penokohan, perwatakan). Berpikir dan Bekerja Artistik (Thinking and Working Artistically): Mengidentifikasi properti sederhana berdasarkan cerita yang akan dimainkan. Menciptakan (Creating): Mengenal dan memainkan ragam peran dari cerita sederhana berdasarkan hasil pengamatan. Berdampak (Impacting): Memerankan lakon secara individu maupun berkelompok berdasarkan minat, pengamatan, dan pengalaman.",046/H/KR/2025,265
CP-PJOK-A,PJOK,A,,,"Pada akhir Fase A, murid memiliki kemampuan sebagai Terampil Bergerak: Mempraktikkan keterampilan gerak fundamental dan menerapkannya dalam berbagai situasi gerak yang berbeda; mengeksplorasi berbagai strategi gerak; dan mengeksplorasi berbagai konsep gerak serta menyimpulkan efektivitasnya. Belajar Melalui Gerak: Menaati peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani; menerapkan strategi kolaborasi ketika berpartisipasi dalam aktivitas jasmani. Bergaya Hidup Aktif: Berpartisipasi di dalam berbagai aktivitas jasmani dan mengidentifikasi manfaatnya. Memilih Hidup yang Menyehatkan: Mengenali gaya hidup aktif dan sehat; mengenali manfaat komponen makanan bergizi seimbang; serta mengenali situasi dan potensi yang berisiko terhadap kesehatan dan keselamatan serta strategi mencari bantuan kepada orang dewasa terpercaya.",046/H/KR/2025,310
CP-PJOK-B,PJOK,B,,,"Pada akhir Fase B, murid memiliki kemampuan sebagai Terampil Bergerak: Menghaluskan keterampilan gerak fundamental dan menerapkannya dalam situasi gerak yang baru; menyesuaikan strategi gerak untuk mendapatkan capaian keterampilan gerak; dan memperagakan berbagai konsep gerak yang dapat diterapkan dalam rangkaian gerak. Belajar Melalui Gerak: Menerapkan strategi gerak sederhana dan memecahkan masalah gerak; menerapkan peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani; dan berpartisipasi secara positif dalam kelompok atau tim di dalam berbagai aktivitas jasmani. Bergaya Hidup Aktif: Berpartisipasi dalam berbagai aktivitas jasmani dan mengenali faktor-faktor yang menyebabkan aktivitas jasmani menyenangkan. Memilih Hidup yang Menyehatkan: Mengenali risiko kesehatan akibat gaya hidup dan berbagai aktivitas jasmani untuk pencegahannya; mengidentifikasi pola makan sehat dan bergizi seimbang sesuai rekomendasi kesehatan untuk menunjang aktivitas sehari-hari; dan mempraktikkan penanganan cedera ringan sesuai pemahaman tentang prinsip pertolongan pertama.",046/H/KR/2025,311
CP-PJOK-C,PJOK,C,,,"Pada akhir Fase C, murid memiliki kemampuan sebagai Terampil Bergerak: Menyesuaikan keterampilan gerak melintasi berbagai situasi gerak; mentransfer strategi gerak yang sudah dikuasai ke dalam berbagai situasi gerak yang berbeda; dan menginvestigasi berbagai konsep gerak yang dapat diterapkan untuk meningkatkan capaian keterampilan gerak Belajar Melalui Gerak: Menguji efektivitas penerapan strategi gerak dalam berbagai situasi gerak; merancang peraturan alternatif dan modifikasi permainan untuk mendukung fair play dan partisipasi inklusif; dan menjalankan berbagai peran untuk mencapai keberhasilan kelompok atau tim di dalam berbagai aktivitas jasmani. Bergaya Hidup Aktif: Berpartisipasi dalam aktivitas jasmani dan menjelaskan pengaruh aktivitas jasmani yang teratur terhadap kesehatan; mengidentifikasi rekomendasi aktivitas jasmani serta pencegahan perilaku sedenter. Memilih Hidup yang Menyehatkan: Mengidentifikasi dan menghubungkan antara gaya hidup, risiko kesehatan, dan aktivitas pencegahannya sesuai rekomendasi otoritas kesehatan; menjelaskan pola makan sehat untuk menunjang aktivitas jasmani berdasarkan informasi kandungan gizi pada makanan; dan mempraktikkan penanganan cedera sedang sesuai pemahaman tentang prinsip pertolongan pertama.",046/H/KR/2025,312
CP-KKA-C,KKA,C,,,"Pada akhir Fase C, murid memiliki kemampuan sebagai Berpikir Komputasional: Memahami permasalahan sederhana dalam kehidupan sehari-hari, menerapkan pemecahan masalah secara sistematis, serta menuliskan instruksi logis dan terstruktur menggunakan sekumpulan kosakata atau simbol. Literasi Digital: Memahami konsep dasar, manfaat, dan dampak teknologi digital, memahami sistem komputer tingkat pradasar, menerapkan pengamanan informasi pribadi dalam komunikasi daring, memanfaatkan internet, dan memproduksi serta mendiseminasi konten digital dalam bentuk teks dan gambar. Literasi dan Etika Kecerdasan Artifisial: Memahami konsep KA sederhana, manfaat dan dampak KA pada kehidupan sehari-hari, prinsip bahwa KA dikembangkan untuk meningkatkan kesejahteraan manusia dan tidak boleh merugikan manusia, mengetahui perbedaan manusia dan komputer dalam melakukan penginderaan, dan mengetahui perbedaan antara mesin cerdas dan mesin non-cerdas. Memahami etika dasar penggunaan KA seperti empati dan tidak menyakiti orang lain. Pemanfaatan dan Pengembangan Kecerdasan Artifisial: Menyimulasikan secara sederhana kerja KA saat mengenali pola, mengklasifikasi benda konkret berdasarkan sifatnya, dan mengetahui bagaimana prediksi sistem KA dipengaruhi input benda konkret.",046/H/KR/2025,342
